name,category,subcategory,email,phone,address,rating,website
The Studio Grill,Food,cafe,admin@thestudiogrill.com,(206) 734-9959,"5744 Aurora Ave N, Seattle WA 98121",4.9,https://www.thestudiogrill.com
The Tavern,Food,restaurant,thetavern@yahoo.com,(206) 829-3584,"8089 4th Ave, Seattle WA 98104",4.9,https://www.thetavern.com
Seattle Place Bar,Food,restaurant,hello@seattleplacebar.com,(206) 912-9182,"5553 Ballard Ave NW, Seattle WA 98121",4.5,https://www.seattleplacebar.biz
Artisan Group Kitchen,Food,bar,artisangro@artisangroupkitseattle.com,(206) 599-4621,"7396 Fremont Ave N, Seattle WA 98112",4.2,https://www.artisangroupkitchenseattle.com
Urban Deli,Food,bakery,contact@urbandeli.com,(206) 348-1373,"1640 Spring St, Seattle WA 98121",4.6,https://www.urbandeli.com
Ballard Cafe,Food,bar,admin@ballardcafeseattle.com,(206) 709-7424,"9218 Pine St, Seattle WA 98102",3.5,https://www.ballardcafe.com
Urban Cafe,Food,bakery,urbancafe@outlook.com,(206) 587-8908,"5303 Broadway, Seattle WA 98115",3.7,https://www.urbancafeseattle.com
Pacific House Bakery,Food,restaurant,info@pacifichousebak.com,(206) 957-1962,"476 Broadway, Seattle WA 98105",4.8,https://www.pacifichousebakery.biz
Artisan Center Kitchen,Food,bakery,hello@yahoo.com,(206) 331-9747,"6487 5th Ave, Seattle WA 98112",5.0,https://www.artisancenterkitchen.biz
Emerald City Bistro,Food,bar,info@emeraldcitybistseattle.com,(206) 495-8918,"4143 Capitol Hill, Seattle WA 98122",4.8,https://www.emeraldcitybistro.com
Pike Place Restaurant,Food,fast_food,hello@outlook.com,(206) 530-6206,"4519 Fremont Ave N, Seattle WA 98106",3.9,https://www.pikeplacerestaurant.biz
Artisan & Co Eatery,Food,fast_food,admin@yahoo.com,(206) 541-9745,"3446 Westlake Ave N, Seattle WA 98116",3.8,https://www.artisanandcoeateryseattle.com
Ballard Bistro,Food,restaurant,info@ballardbistro.com,(206) 705-9154,"435 3rd Ave, Seattle WA 98104",4.2,https://www.ballardbistro.net
Seattle Eatery,Food,bakery,admin@gmail.com,(206) 467-4709,"3340 5th Ave, Seattle WA 98103",3.6,https://www.seattleeatery.com
Urban Kitchen,Food,fast_food,hello@gmail.com,(206) 421-2960,"568 5th Ave, Seattle WA 98118",3.9,https://www.urbankitchen.net
Urban Group Barbershop,Salon,beauty_salon,contact@gmail.com,(206) 621-6220,"867 23rd Ave, Seattle WA 98109",4.6,https://www.urbangroupbarbershopseattle.com
Bella Studio Salon,Salon,hair_care,contact@business.com,(206) 453-7976,"4763 Madison St, Seattle WA 98116",4.6,https://www.bellastudiosalon.biz
Chic Barbershop,Salon,hair_care,chicbarber@yahoo.com,(206) 561-7616,"412 Fremont Ave N, Seattle WA 98125",3.6,https://www.chicbarbershop.biz
Elite Styling,Salon,beauty_salon,admin@business.com,(206) 575-5738,"8074 3rd Ave, Seattle WA 98105",4.1,https://www.elitestyling.biz
The Styling,Salon,hair_care,info@yahoo.com,(206) 970-3707,"349 Spring St, Seattle WA 98108",4.1,https://www.thestylingseattle.com
Studio Hair Care,Salon,hair_care,contact@business.com,(206) 981-7444,"1466 2nd Ave, Seattle WA 98125",4.8,https://www.studiohaircare.biz
Modern Beauty Bar,Salon,hair_care,contact@modernbeautybar.com,(206) 921-5802,"8657 Queen Anne Ave N, Seattle WA 98117",4.0,https://www.modernbeautybarseattle.com
Modern Salon,Salon,hair_care,modernsalo@modernsalon.com,(206) 362-7889,"2954 University St, Seattle WA 98103",3.6,https://www.modernsalon.net
Classic Styling,Salon,beauty_salon,classicsty@classicstylingseattle.com,(206) 619-9379,"8989 4th Ave, Seattle WA 98108",4.2,https://www.classicstylingseattle.com
Elite Studio Styling,Salon,barber_shop,elitestudi@elitestudiostylseattle.com,(206) 374-1111,"6720 Westlake Ave N, Seattle WA 98108",4.0,https://www.elitestudiostyling.com
Chic Salon,Salon,hair_care,info@business.com,(206) 335-6060,"2561 Madison St, Seattle WA 98118",3.7,https://www.chicsalon.com
Bella Salon,Salon,beauty_salon,info@outlook.com,(206) 738-5747,"8460 Union St, Seattle WA 98116",3.8,https://www.bellasalon.com
Classic Beauty Bar,Salon,hair_care,classicbea@yahoo.com,(206) 866-2959,"5560 4th Ave, Seattle WA 98103",4.6,https://www.classicbeautybar.biz
Elite Hair Lounge,Salon,beauty_salon,admin@yahoo.com,(206) 636-4056,"1103 University St, Seattle WA 98106",4.2,https://www.elitehairlounge.net
Bella Hair Studio,Salon,barber_shop,contact@yahoo.com,(206) 967-9808,"2595 University St, Seattle WA 98122",3.6,https://www.bellahairstudio.net
