name,category,subcategory,email,phone,address,rating,website
Modern Bar,Food,bar,hello@yahoo.com,(253) 949-7207,"2211 Beacon Ave S, Seattle WA 98109",3.2,https://www.modernbar.net
The Place Bar,Food,pizza,info@theplacebar.net,(253) 630-3001,"2098 Greenwood Ave N, Seattle WA 98122",3.7,https://www.theplacebar.net
Pike Place & Co Steakhouse,Food,restaurant,support@pikeplaceandcos.net,(425) 716-9361,"5547 University St, Seattle WA 98118",3.4,https://www.pikeplaceandcosteakhouse.net
Queen Anne Group Tavern,Food,restaurant,office@queenannegroupt.net,(253) 249-7219,"7476 2nd Ave, Seattle WA 98126",4.1,https://www.queenannegrouptavern.biz
Seattle Bistro,Food,mexican,info@business.com,(425) 414-5334,"7248 Queen Anne Ave N # 315, Seattle WA 98144",4.2,https://www.seattlebistro.net
Craft House Bistro,Food,bar,office@crafthousebistrseattle.com,(253) 491-7791,"6204 2nd Ave Unit 15, Seattle WA 98101",4.3,https://www.crafthousebistro.com
Farm Steakhouse 10,Food,fast_food,office@farmsteakhouse1seattle.com,(253) 245-8847,"6943 Union St, Seattle WA 98115",3.5,https://www.farmsteakhouse10.net
Organic Bistro,Food,asian,office@yahoo.com,(425) 427-4664,"2771 Pike St, Seattle WA 98103",3.3,https://www.organicbistroseattle.com
Farm Grill,Food,asian,info@business.com,(253) 448-8547,"4505 Beacon Ave S, Seattle WA 98133",4.6,https://www.farmgrill.org
Pacific Steakhouse,Food,mexican,info@pacificsteakhou.net,(206) 806-6717,"3628 3rd Ave Unit 262, Seattle WA 98109",4.2,https://www.pacificsteakhouseseattle.com
Farm Studio Restaurant,Food,pizza,admin@farmstudioresta.com,(206) 969-1811,"3639 Pine St, Seattle WA 98115",3.4,https://www.farmstudiorestaurantseattle.com
Organic House,Food,bar,office@organichouse.net,(425) 718-6191,"4511 Seneca St, Seattle WA 98104",3.9,https://www.organichouse.net
Pacific Restaurant,Food,bakery,info@pacificrestaura.net,(206) 364-6079,"2632 Broadway Suite 370, Seattle WA 98103",4.0,https://www.pacificrestaurant.org
Queen Anne Restaurant,Food,cafe,hello@yahoo.com,(206) 750-2973,"5802 Stone Way N, Seattle WA 98112",4.2,https://www.queenannerestaurantseattle.com
Local Bakery,Food,restaurant,info@gmail.com,(253) 748-8957,"7941 Union St, Seattle WA 98105",3.5,https://www.localbakery.com
Capitol Hill Studio Lounge,Food,fast_food,capitolhil@hotmail.com,(253) 688-4752,"4820 23rd Ave, Seattle WA 98118",3.5,https://www.capitolhillstudiolounge.org
Pacific Express Brewery,Food,cafe,admin@pacificexpressbseattle.com,(206) 445-6576,"9315 Seneca St Unit 203, Seattle WA 98103",4.0,https://www.pacificexpressbreweryseattle.com
Organic Eatery,Food,pizza,contact@organiceatery.net,(206) 518-1078,"2256 Queen Anne Ave N, Seattle WA 98125",4.6,https://www.organiceateryseattle.com
Seattle Bakery,Food,pizza,support@seattlebakeryseattle.com,(425) 854-5785,"5190 Seneca St, Seattle WA 98126",4.6,https://www.seattlebakery.org
Artisan Pizzeria,Food,pizza,info@business.com,(253) 757-3597,"4328 Stewart St, Seattle WA 98101",4.8,https://www.artisanpizzeriaseattle.com
Classic & Co Eatery,Food,cafe,office@business.com,(425) 604-9601,"9249 Alki Ave SW, Seattle WA 98112",3.7,https://www.classicandcoeateryseattle.com
Local & Co Bakery,Food,cafe,info@localandcobakerseattle.com,(253) 775-8931,"3149 California Ave SW Suite 144, Seattle WA 98125",4.2,https://www.localandcobakery.com
Pacific House,Food,fast_food,office@gmail.com,(425) 568-9122,"748 Sand Point Way NE, Seattle WA 98112",4.6,https://www.pacifichouse.biz
Fresh Center Restaurant,Food,pizza,office@gmail.com,(253) 818-9530,"8713 23rd Ave, Seattle WA 98106",4.9,https://www.freshcenterrestaurant.biz
Ballard & Co Brewery,Food,pizza,support@ballardandcobreseattle.com,(253) 325-4185,"1015 Georgetown, Seattle WA 98118",4.3,https://www.ballardandcobrewery.net
Gold Center Styling,Salon,beauty_salon,admin@hotmail.com,(253) 569-7988,"3968 2nd Ave # 161, Seattle WA 98117",4.7,https://www.goldcenterstylingseattle.com
The Styling 24,Salon,nail_salon,contact@outlook.com,(206) 969-8562,"5170 3rd Ave, Seattle WA 98106",4.7,https://www.thestyling24.net
Classic Style Studio 2,Salon,beauty_salon,contact@classicstylestuseattle.com,(206) 625-8062,"641 23rd Ave Unit 268, Seattle WA 98107",3.6,https://www.classicstylestudio2.net
Premier Barbershop 26,Salon,beauty_salon,office@yahoo.com,(253) 249-6819,"1430 3rd Ave Ste 169, Seattle WA 98119",4.6,https://www.premierbarbershop26.org
Luxe Hair Studio,Salon,beauty_salon,info@yahoo.com,(253) 900-7611,"3992 Lake City Way NE, Seattle WA 98119",3.9,https://www.luxehairstudio.com
Platinum Studio Hair Gallery,Salon,nail_salon,admin@platinumstudioh.com,(425) 445-5697,"1232 Sand Point Way NE, Seattle WA 98109",3.5,https://www.platinumstudiohairgallery.biz
Elite Studio Hair Studio,Salon,beauty_salon,info@outlook.com,(206) 463-9323,"8445 Queen Anne Ave N, Seattle WA 98101",3.4,https://www.elitestudiohairstudio.com
Premier Hair Care,Salon,beauty_salon,premierhai@yahoo.com,(425) 591-1697,"3599 Pike St, Seattle WA 98109",4.2,https://www.premierhaircare.biz
Premier Hair Studio 41,Salon,hair_care,premierhai@business.com,(253) 668-6356,"1583 6th Ave, Seattle WA 98103",4.8,https://www.premierhairstudio41.net
Diamond Cut & Color,Salon,nail_salon,office@business.com,(206) 331-6463,"855 Highland Park Way SW, Seattle WA 98118",3.9,https://www.diamondcutandcolor.biz
Seattle Styling,Salon,beauty_salon,admin@hotmail.com,(206) 851-5013,"1995 Industrial Way S Ste 63, Seattle WA 98154",4.8,https://www.seattlestylingseattle.com
Modern Barbershop,Salon,hair_care,info@modernbarbershoseattle.com,(206) 291-8749,"9205 Greenwood Ave N, Seattle WA 98121",4.8,https://www.modernbarbershop.biz
Chic Styling,Salon,nail_salon,support@business.com,(253) 943-4225,"2785 Union St, Seattle WA 98116",4.7,https://www.chicstyling.biz
The Hair Gallery,Salon,hair_care,hello@thehairgalleryseattle.com,(253) 394-5198,"1521 Magnolia Blvd W, Seattle WA 98112",4.4,https://www.thehairgallery.org
Gold Hair Care,Salon,nail_salon,admin@goldhaircareseattle.com,(253) 882-8843,"3432 Bothell Way NE, Seattle WA 98117",3.7,https://www.goldhaircare.net
Studio Cut & Color,Salon,beauty_salon,office@hotmail.com,(425) 902-5072,"1895 Capitol Hill # 54, Seattle WA 98121",4.8,https://www.studiocutandcolor.biz
Emerald Barbershop,Salon,hair_care,office@gmail.com,(206) 815-9357,"4367 3rd Ave, Seattle WA 98136",4.1,https://www.emeraldbarbershop.com
Emerald Styling,Salon,barber_shop,hello@outlook.com,(425) 536-4506,"1272 Georgetown, Seattle WA 98119",4.1,https://www.emeraldstyling.com
The Styling,Salon,beauty_salon,support@thestylingseattle.com,(253) 680-9611,"3661 Seneca St, Seattle WA 98107",3.3,https://www.thestyling.biz
Studio Styling,Salon,hair_care,contact@outlook.com,(253) 740-4977,"2981 Roosevelt Way NE Ste 15, Seattle WA 98102",4.6,https://www.studiostyling.net
Luxe Styling,Salon,beauty_salon,info@luxestylingseattle.com,(206) 866-2476,"7717 4th Ave, Seattle WA 98121",4.7,https://www.luxestyling.biz
Platinum Cut & Color,Salon,barber_shop,admin@platinumcutandc.com,(425) 409-3876,"2590 Martin Luther King Jr Way S, Seattle WA 98146",3.3,https://www.platinumcutandcolor.biz
The Beauty Bar,Salon,hair_care,info@gmail.com,(206) 579-5627,"1132 Greenwood Ave N Suite 225, Seattle WA 98109",4.7,https://www.thebeautybar.com
